Pilseta,Garums,Platums
Rīga,56.9475,24.106389
Ādaži,57.076944,24.323611
Baldone,56.7425,24.394167
Baloži,56.875,24.119167
Ikšķile,56.836667,24.496111
Ķegums,56.744444,24.721389
Ķekava,56.832222,24.226667
Lielvārde,56.723056,24.805833
Mārupe,56.900833,24.047778
Olaine,56.787222,23.941944
Salaspils,56.858611,24.349722
Saulkrasti,57.261944,24.415833
Sigulda,57.155,24.857778
Vangaži,57.0925,24.546389
Daugavpils,55.875,26.535556
Jēkabpils,56.499444,25.878333
Jelgava,56.648333,23.713889
Liepāja,56.511667,21.013889
Ogre,56.818611,24.605556
Rēzekne,56.506389,27.330556
Valmiera,57.538611,25.425556
Ventspils,57.390556,21.573333
Brocēni,56.68,22.568333
Grobiņa,56.535,21.166111
Kandava,57.0375,22.775
Kuldīga,56.968611,21.971667
Pāvilosta,56.889167,21.176944
Saldus,56.666389,22.493611
Talsi,57.246667,22.588611
Tukums,56.966667,23.153333
Balvi,57.1325,27.265833
Līvāni,56.366667,26.183333
Ludza,56.546389,27.726944
Preiļi,56.3,26.716667
Ainaži,57.863889,24.36
Alūksne,57.420556,27.048611
Cēsis,57.3125,25.275278
Gulbene,57.1725,26.761111
Limbaži,57.511389,24.719167
Madona,56.851111,26.219444
Salacgrīva,57.751667,24.357222
Smiltene,57.424167,25.906667
Aizkraukle,56.604167,25.255278
Bauska,56.406944,24.186389
Dobele,56.624167,23.28
Iecava,56.5975,24.196667
