Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;mat_223;mat_238;mat_214;mat_212;mat_215;mat_232;mat_243;mat_537;mat_213;mat_211;mat_545;mat_227;mat_216;mat_226;mat_224;mat_222;mat_231;mat_244;mat_241;mat_235;mat_234
30000.0;15.21;1;5;1040.2;5501.7;16528.0;1975;30;2;2;32.0;28.9;5;1;56.832222;24.226667;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45000.0;23.32;1;5;1058.8;4060.9;14136.0;1977;20;2;2;45.9;45.9;6;2;56.832222;24.226667;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94900.0;34.04;1;5;791.2;3729.3;11981.0;2008;0;4;4;66.1;57.1;5;3;56.875;24.119167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4200.0;24.24;1;3;425.9;1081.1;3398.0;1962;35;2;2;41.2;41.2;5;2;56.787222;23.941944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95000.0;104.14;1;5;1639.1;7453.6;20640.0;2004;0;2;2;72.3;65.9;6;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55000.0;127.85;1;5;823.9;3836.5;12668.0;1978;25;4;4;65.4;58.2;7;3;57.076944;24.323611;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71900.0;182.24;1;3;976.0;3157.9;9964.0;1980;30;3;3;76.7;69.8;7;3;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93500.0;34.89;1;5;1063.7;4709.0;16345.0;2008;0;4;4;65.9;57.0;5;3;56.875;24.119167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53000.0;109.38;1;5;923.5;4096.5;13605.0;1995;0;1;1;69.9;63.1;10;3;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7000.0;9.5;1;5;1266.6;5599.7;19603.0;1975;20;3;3;52.1;45.2;7;2;56.787222;23.941944;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8500.0;19.0;1;5;1266.6;5599.7;19603.0;1975;20;3;3;52.1;45.2;7;2;56.787222;23.941944;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
