Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Gads;Sezona
233500.0;220.88;2;5;1044.8;4309.1;13652.0;2023;0.0;2;2;95.2;86.8;7;4;56.900833;24.047778;2023;4
99000.0;47.73;2;6;1041.8;6523.3;21493.0;2005;15.0;1;1;65.4;65.4;5;2;56.875;24.119167;2023;1
7000.0;37.9;1;5;1944.2;8858.3;33517.0;1979;15.0;3;3;54.6;51.5;7;2;56.832222;24.226667;2023;1
25000.0;70.8;1;5;1270.0;6049.8;19940.0;1971;15.0;5;5;36.5;29.3;5;1;56.858611;24.349722;2023;1
29500.0;70.08;1;5;865.3;4324.6;13928.0;1980;29.0;5;5;42.2;34.7;8;1;56.858611;24.349722;2023;1
73500.0;45.96;1;9;1283.0;10096.4;33586.0;1974;30.0;6;6;60.1;56.4;9;3;56.858611;24.349722;2023;1
20000.0;85.41;1;5;932.1;4522.7;14945.0;1975;30.0;1;1;35.5;35.5;4;2;56.858611;24.349722;2023;1
66000.0;58.53;1;5;1915.7;9364.5;36030.0;2008;13.0;3;3;47.1;43.8;5;1;57.076944;24.323611;2023;1
28000.0;44.85;1;9;1324.0;9942.5;34654.0;1978;17.0;4;4;60.7;56.9;9;3;56.858611;24.349722;2023;1
31000.0;57.14;1;5;864.7;4341.3;13928.0;1979;30.0;1;1;41.0;33.5;6;1;56.858611;24.349722;2023;1
42000.0;38.34;1;5;716.6;3413.9;11392.0;1969;15.0;3;3;48.7;45.8;7;2;56.787222;23.941944;2024;1
20000.0;19.84;1;5;1249.5;6013.9;19137.0;1971;30.0;2;2;52.9;45.7;8;2;56.787222;23.941944;2023;1
59000.0;79.23;1;5;1808.0;8432.0;27314.0;1987;17.0;2;2;70.6;63.1;8;3;56.858611;24.349722;2024;1
70000.0;36.61;1;9;897.3;6921.6;23497.0;1979;17.0;9;9;63.2;60.6;9;3;56.858611;24.349722;2024;1
16500.0;103.53;1;5;700.4;3267.1;10774.0;1972;20.0;2;2;59.9;59.0;8;3;56.744444;24.721389;2023;1
42000.0;31.5;1;10;597.8;5209.6;17383.0;1981;30.0;2;2;33.4;30.9;7;1;56.858611;24.349722;2024;1
158000.0;110.16;1;5;2396.9;9684.6;33228.0;2007;13.0;3;3;104.1;99.1;7;3;57.261944;24.415833;2024;1
8000.0;340.66;2;2;139.9;178.6;780.0;1935;40.0;2;2;30.5;30.5;3;2;56.723056;24.805833;2024;1
110000.0;111.67;1;5;1885.9;9366.6;35631.0;2008;14.0;4;4;80.8;77.5;6;3;57.076944;24.323611;2024;1
40000.0;39.62;1;5;1249.5;6013.9;19137.0;1971;30.0;2;2;52.7;45.5;8;2;56.787222;23.941944;2023;4
157000.0;105.45;1;5;1651.0;8310.0;31433.0;2006;0.0;2;2;88.6;85.3;7;4;57.076944;24.323611;2024;1
54000.0;57.22;1;5;1471.0;7277.4;23664.0;1971;23.0;4;4;45.0;45.0;6;2;56.858611;24.349722;2024;1
6000.0;35.34;1;5;1944.2;8858.3;33517.0;1979;15.0;2;2;51.3;48.1;9;2;56.832222;24.226667;2024;1
