Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums
33620.0;1;9;317.1;2641.2;8334.0;1980;29.0;6;6;62.6;60.2;9;3;56.787222;23.941944
10500.0;2;2;158.0;238.3;964.0;1958;45.0;2;2;26.1;26.1;3;1;57.155;24.857778
105000.0;1;4;2029.3;6282.6;23701.0;2008;19.0;3;3;55.5;52.2;5;3;56.900833;24.047778
84900.0;1;3;642.4;1974.0;6708.0;1978;28.0;1;1;69.7;63.2;8;3;57.155;24.857778
33000.0;1;5;879.6;3235.5;13163.0;1977;15.0;1;1;53.1;51.8;10;2;56.723056;24.805833
85000.0;1;5;1128.7;4855.2;19037.0;1979;30.0;2;2;70.6;63.4;11;3;57.155;24.857778
31000.0;1;6;775.4;4952.0;12911.0;1980;35.0;4;4;43.0;35.5;7;1;56.787222;23.941944
29000.0;1;5;951.1;3960.8;15522.0;1980;35.0;5;5;65.0;63.6;9;3;56.723056;24.805833
22500.0;1;5;591.2;2928.2;9364.0;1978;15.0;2;2;67.2;64.6;10;3;56.723056;24.805833
33000.0;1;6;765.8;4896.3;12735.0;1987;17.0;5;5;42.2;34.8;7;1;56.787222;23.941944
57000.0;1;4;838.5;3285.1;11234.0;1990;10.0;4;4;45.9;45.9;6;2;57.155;24.857778
34500.0;1;3;746.2;2315.8;7860.0;1982;30.0;1;1;42.0;34.2;7;1;56.832222;24.226667
25000.0;1;5;715.4;3253.2;11387.0;1987;26.0;5;5;49.3;45.7;8;2;57.076944;24.323611
5500.0;4;2;95.7;138.2;605.0;1965;40.0;1;1;22.6;22.6;2;1;56.7425;24.394167
57583.0;1;5;1128.7;4855.2;19037.0;1979;30.0;1;1;69.4;65.8;10;3;57.155;24.857778
74000.0;1;4;695.0;2754.7;9348.0;1969;25.0;1;1;70.1;70.1;8;4;57.155;24.857778
40000.0;1;5;817.2;3402.1;11306.0;1965;28.0;4;4;60.1;57.2;9;3;57.076944;24.323611
