Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums
40000.0;1;10;316.3;2489.4;8377.0;1980;20;4;4;52.1;49.5;7;2;56.787222;23.941944
38000.0;1;4;940.6;2654.5;8665.0;1989;20;2;2;45.1;38.3;9;1;57.155;24.857778
10000.0;1;5;709.9;3654.9;11079.0;1969;30;2;2;39.7;36.7;6;2;57.0925;24.546389
18500.0;4;2;469.9;751.7;2601.0;1965;50;2;2;42.2;42.2;4;2;57.261944;24.415833
19000.0;2;2;95.0;124.5;421.0;1974;50;2;2;54.3;54.3;7;3;57.261944;24.415833
15000.0;2;2;95.0;124.5;421.0;1974;50;1;1;29.4;29.4;4;1;57.261944;24.415833
12700.0;1;10;542.7;4020.0;17042.0;1986;30;5;5;46.5;39.4;6;2;56.787222;23.941944
11400.0;2;2;95.0;124.5;421.0;1974;50;1;1;26.8;26.8;4;1;57.261944;24.415833
15000.0;1;5;1446.0;7208.0;22541.0;1975;20;2;2;31.6;28.8;7;1;56.858611;24.349722
25000.0;1;5;821.9;3237.1;11378.0;1987;20;4;4;28.9;26.0;6;1;57.076944;24.323611
20000.0;1;5;879.6;3235.5;13163.0;1977;15;4;4;45.9;45.9;7;2;56.723056;24.805833
79000.0;1;4;2047.0;6502.5;24376.0;2007;0;3;3;57.5;54.3;6;2;56.900833;24.047778
7000.0;1;5;709.9;3662.5;11079.0;1990;5;4;4;31.9;28.9;5;1;57.0925;24.546389
58337.74;1;6;1540.0;5570.6;19115.0;1988;20;4;4;68.6;61.4;8;3;57.155;24.857778
27000.0;1;3;452.6;1331.3;4470.0;1971;20;1;1;58.0;53.2;10;2;57.155;24.857778
13000.0;1;5;1097.7;3727.7;20666.0;1987;10;3;3;85.0;85.0;1;1;56.723056;24.805833
4500.0;1;2;161.7;168.8;671.0;1939;50;1;2;58.7;58.7;7;3;56.836667;24.496111
128000.0;1;3;1928.3;3949.0;14853.0;2006;0;3;3;106.4;103.3;8;5;56.900833;24.047778
9000.0;1;5;1128.7;4864.1;19037.0;1979;25;5;5;34.9;34.9;4;1;57.155;24.857778
10000.0;1;6;1540.0;5567.5;19115.0;1988;20;4;4;53.9;50.8;7;2;57.155;24.857778
20000.0;1;6;1540.0;5567.5;19115.0;1988;20;4;4;53.9;50.8;7;2;57.155;24.857778
9500.0;1;5;968.8;3900.2;15923.0;1980;30;4;4;48.9;47.7;10;2;56.723056;24.805833
32000.0;1;4;868.0;3332.7;11556.0;1975;25;2;2;55.0;51.6;9;2;57.155;24.857778
77800.0;1;4;2000.2;6246.8;24554.0;2007;0;2;2;55.8;52.5;6;2;56.900833;24.047778
6970.0;1;3;842.9;1972.4;6807.0;1969;30;1;1;29.5;29.5;4;1;57.155;24.857778
12000.0;1;5;951.1;3959.2;15522.0;1980;35;5;5;48.2;47.6;10;2;56.723056;24.805833
14000.0;1;5;709.9;3662.5;11079.0;1990;5;5;5;32.2;29.2;5;1;57.0925;24.546389
57500.0;1;5;1123.0;5361.2;16282.0;2008;0;5;5;61.1;54.1;5;2;56.836667;24.496111
20000.0;1;4;965.4;3187.9;11207.0;1981;25;2;2;47.0;47.0;6;2;56.723056;24.805833
85000.0;1;4;343.0;1473.7;4891.0;2011;0;1;1;61.6;61.6;6;3;57.261944;24.415833
34700.0;1;9;1165.1;9183.7;31403.0;2007;0;1;1;46.1;46.1;4;1;56.787222;23.941944
37000.0;1;5;1128.7;4864.1;19037.0;1979;25;3;3;54.2;50.6;10;2;57.155;24.857778
54000.0;1;4;937.6;2954.1;10252.0;1980;20;1;1;67.4;64.0;8;3;57.155;24.857778
4000.0;1;5;900.0;3500.4;13868.0;1977;30;3;3;46.4;46.4;6;2;56.723056;24.805833
25000.0;1;6;1331.7;6683.2;22639.0;1985;15;5;5;46.1;46.1;6;2;56.787222;23.941944
7000.0;1;5;879.6;3235.5;13163.0;1977;15;5;5;53.9;52.5;8;2;56.723056;24.805833
39000.0;1;6;1331.7;6683.2;22639.0;1985;15;4;4;90.9;80.3;12;4;56.787222;23.941944
94500.0;1;4;2000.2;6246.8;24554.0;2007;0;2;2;74.9;71.6;7;3;56.900833;24.047778
