Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
100350.0;49.15;3;4;902.9;1910;18.0;44.6;3;2;4.0;2023;0;0;0;1;56.9693587;24.1022666
136248.5;64.37;1;7;4195.8;2023;0.0;68.1;5;3;1.0;2023;0;0;0;1;56.9527742;24.2129029
28000.0;55.07;1;5;3416.4;1966;30.0;48.8;8;2;5.0;2023;0;0;0;1;56.9351603;24.1538318
92000.0;37.09;1;5;2260.2;1888;34.0;57.6;6;2;4.5;2023;0;0;0;1;56.9488374;24.134049
26000.0;60.94;1;5;2808.1;1961;31.0;42.3;5;2;4.0;2023;0;0;0;1;56.9686983;24.0994128
100000.0;37.9;1;7;4962.5;2013;1.0;58.6;3;2;2.0;2023;0;0;0;1;56.9710512;24.1005697
42000.0;39.68;1;5;3518.0;1963;20.0;40.7;5;2;3.0;2023;0;0;0;1;56.9083933;24.0973777
310000.0;80.27;3;6;5764.6;1901;31.0;218.8;16;6;5.0;2023;0;0;0;1;56.9537242;24.1239185
144500.0;24.01;1;7;10585.7;2023;0.0;51.5;4;2;1.0;2023;0;0;0;1;56.9667944;24.1034056
135000.0;50.01;4;6;1870.0;1916;59.0;79.7;5;3;4.0;2023;0;1;0;0;56.9418398;24.0631242
87760.0;32.77;1;12;5823.7;2022;0.0;39.1;4;2;3.0;2023;0;0;0;1;56.9939864;24.1647615
15400.0;379.67;1;2;149.7;1930;60.0;59.7;6;2;2.0;2023;0;1;0;0;56.9349554;24.0541716
21000.0;10.13;3;6;2561.7;1885;60.0;30.7;3;1;6.0;2023;0;0;0;1;56.9669655;24.1448235
40000.0;27.14;4;4;1485.3;1900;60.0;65.5;5;2;3.0;2023;0;0;0;1;56.9516649;24.1271924
30500.0;59.87;1;7;6650.1;1987;10.0;45.9;6;1;3.0;2023;0;0;0;1;56.9484793;24.0132163
38000.0;55.52;1;10;3453.0;1984;10.0;40.1;6;1;1.0;2023;0;0;0;1;56.9411577;24.1964402
6000.0;29.91;2;3;836.7;1947;60.0;31.2;4;1;1.0;2023;0;0;0;1;56.970932;24.1782301
46500.0;46.06;1;10;9583.6;1986;5.0;46.3;6;1;3.0;2023;0;0;0;1;56.9473604;24.0078371
23000.0;39.79;1;5;4636.8;1962;47.0;30.8;4;1;2.0;2023;0;0;0;1;56.9858266;24.2398907
69900.0;87.74;1;6;6420.8;1983;30.0;78.2;13;3;3.0;2023;0;0;0;1;56.949648;24.1920788
108000.0;15.17;1;10;16908.3;1977;17.0;71.6;4;2;5.0;2023;0;0;0;1;56.9651194;24.1503112
20000.0;43.99;1;5;3442.8;1966;29.0;30.3;6;2;5.0;2023;0;0;0;1;56.9771153;24.2510179
26250.0;53.33;1;5;4167.6;1984;19.0;38.5;7;1;4.0;2023;0;0;0;1;56.9533165;24.1838938
34000.0;53.03;1;10;4033.8;1974;10.0;45.1;7;2;2.0;2023;0;0;0;1;57.0022146;24.1291513
37000.0;79.92;1;5;2000.5;1982;20.0;46.0;6;2;4.0;2023;0;0;0;1;57.0284314;24.0553787
57300.0;31.72;1;7;1946.1;1935;30.0;49.0;6;2;4.0;2023;0;0;0;1;56.9637112;24.1509425
204900.0;63.77;1;12;5823.7;2022;0.0;76.1;7;4;6.0;2023;0;0;0;1;56.9939864;24.1647615
23184.0;9.61;3;6;1881.5;1913;57.0;36.8;3;2;1.0;2023;0;0;0;1;56.9750821;24.1403132
306365.0;42.84;1;7;10585.7;2023;0.0;91.9;9;4;3.0;2023;0;1;0;0;56.9667944;24.1034056
110000.0;23.58;1;7;3379.8;1910;51.0;72.8;7;4;6.0;2023;0;0;0;1;56.9591439;24.1277088
37500.0;139.4;2;2;482.9;1900;40.0;27.9;3;2;1.0;2023;0;0;0;1;56.973205;24.1112281
97000.0;55.01;1;5;4557.7;2023;0.0;43.3;4;2;5.0;2023;0;0;0;1;56.917341;24.1778531
10000.0;14.49;1;17;7351.8;1992;27.0;60.8;7;2;2.0;2023;0;0;0;1;56.904903;24.0837946
79000.0;5.55;1;7;1509.5;2021;0.0;22.9;2;1;7.0;2023;0;0;0;1;56.9594658;24.1211962
47500.0;73.19;1;4;1796.5;1958;30.0;54.1;6;2;4.0;2023;0;0;0;1;56.9941062;24.130073
23000.0;52.05;3;3;682.2;1940;55.0;39.6;4;2;3.0;2023;0;0;0;1;56.9409968;24.0719329
35000.0;9.5;16;4;778.4;1920;18.0;18.9;2;1;2.0;2023;0;0;0;1;56.9631592;24.1381274
40000.0;42.63;1;5;2946.5;1962;30.0;42.8;6;2;2.0;2023;0;0;0;1;56.9282194;24.0759479
32000.0;229.25;2;2;254.5;1880;60.0;52.4;4;2;2.0;2023;0;0;0;1;56.9173308;24.0820103
38500.0;40.61;1;5;3367.3;1961;27.0;32.2;4;1;1.0;2023;0;0;0;1;56.9467728;24.0646742
127000.0;67.25;1;9;3632.2;2006;13.0;87.4;7;3;7.0;2023;0;0;0;1;56.9343372;24.202987
105000.0;15.04;2;26;15032.1;2007;10.0;67.7;4;2;9.0;2023;0;0;0;1;56.9340584;24.0433853
41920.0;16.16;3;5;1398.5;1910;27.0;26.0;2;1;2.0;2023;0;0;0;1;56.9552729;24.1435714
10000.0;73.53;3;2;313.8;1900;70.0;28.0;4;2;2.0;2023;0;0;0;1;56.9411223;24.0789578
231000.0;29.92;1;7;19293.1;2022;1.0;71.7;6;3;2.0;2023;0;0;0;1;56.9661878;24.104192
134950.0;53.64;1;7;4192.0;2022;0.0;59.9;5;3;7.0;2023;0;0;0;1;56.9522839;24.212676
85000.0;38.35;1;7;17222.8;2007;0.0;58.3;5;1;4.0;2023;0;0;0;1;56.8997222;24.0795353
27500.0;40.12;1;4;2175.6;1961;30.0;29.1;4;1;4.0;2023;0;0;0;1;56.9136371;24.188533
41900.0;60.79;1;5;4619.7;1964;30.0;56.5;10;3;5.0;2023;0;0;0;1;56.9786705;24.24615
304000.0;42.6;3;6;3651.5;1912;50.0;175.9;14;6;4.0;2023;0;0;0;1;56.9515062;24.120871
108625.0;309.04;8;2;728.7;1890;55.0;78.5;8;3;2.0;2023;0;0;0;1;56.9488614;24.0616211
15000.0;11.85;3;5;3778.8;1895;32.0;25.8;2;1;4.0;2023;0;0;0;1;56.9488729;24.1295856
40000.0;18.45;2;5;1630.3;1918;54.0;43.6;5;2;2.0;2023;0;0;0;1;56.9502939;24.1308722
223500.0;50.95;1;5;2625.0;1910;45.0;136.8;9;3;2.0;2023;0;1;0;0;56.9594903;24.1231906
25000.0;18.89;1;5;3024.7;1980;15.0;49.6;5;2;3.0;2023;0;0;0;1;57.031313;24.1011941
150000.0;50.69;1;4;5572.6;1911;48.0;93.7;9;4;2.0;2023;0;1;0;0;56.9525243;24.1400411
170000.0;46.41;3;24;17263.9;2006;0.0;89.3;9;4;19.0;2023;0;0;0;1;56.9594336;24.0142317
124000.0;24.68;3;24;17263.9;2006;0.0;65.4;4;1;22.5;2023;0;0;0;1;56.9594336;24.0142317
45100.0;43.31;4;3;619.7;1905;55.0;49.4;6;3;1.0;2023;0;0;0;1;56.9599299;24.1098766
192200.0;106.98;1;4;3853.5;2022;0.0;70.0;6;3;3.0;2023;0;0;0;1;56.9419308;24.0235592
29000.0;41.72;1;5;4450.9;1982;20.0;43.4;6;1;4.0;2023;0;0;0;1;56.9496256;24.2024077
26000.0;36.18;1;4;1607.0;1960;25.0;29.4;4;1;1.0;2023;0;0;0;1;56.9160552;24.0979565
33000.0;36.88;1;5;2822.2;1966;30.0;30.3;4;1;1.0;2023;0;0;0;1;56.9791057;24.1713581
104500.0;8.66;1;7;1509.5;2021;0.0;35.7;3;1;5.0;2023;0;0;0;1;56.9594658;24.1211962
59000.0;34.45;4;4;3976.1;1962;30.0;33.4;3;2;2.0;2023;0;0;0;1;56.9371301;24.1479243
75000.0;83.96;1;10;12651.3;1986;30.0;77.3;10;3;8.0;2023;0;0;0;1;56.9473374;24.0061033
48000.0;55.03;1;9;6070.0;1982;17.0;57.2;10;2;9.0;2023;0;0;0;1;56.9523136;24.17524
28000.0;34.8;1;13;5109.7;1970;31.0;35.7;6;1;3.0;2024;0;0;0;1;56.9141098;24.1684236
52000.0;27.86;1;9;16848.4;1974;31.0;63.8;9;3;2.0;2023;0;0;0;1;56.9647186;24.1786968
174000.0;243.1;1;3;970.8;2015;0.0;96.1;4;3;2.0;2023;0;0;1;0;56.9701798;24.1837365
60000.0;36.76;1;9;4904.1;1985;20.0;62.7;9;3;1.0;2023;0;0;0;1;56.9544361;24.1924588
90000.0;17.91;1;7;2926.6;2006;14.0;80.8;3;1;3.0;2023;0;0;0;1;56.9472225;24.109034
129420.0;39.64;1;12;5823.7;2022;0.0;47.3;5;2;10.0;2023;0;0;0;1;56.9939864;24.1647615
201760.0;58.07;1;12;5823.7;2022;0.0;69.3;5;2;12.0;2023;0;0;0;1;56.9939864;24.1647615
31000.0;30.71;1;5;2783.4;1963;30.0;30.1;4;1;5.0;2023;0;0;0;1;56.9683392;24.1838193
103900.0;39.05;1;12;5823.7;2022;0.0;46.6;5;2;3.0;2023;0;0;0;1;56.9939864;24.1647615
39000.0;52.76;1;5;3933.8;1980;28.0;50.3;8;2;3.0;2023;0;1;0;0;57.0315801;24.0972528
103875.0;38.55;1;12;5823.7;2022;0.0;46.0;5;2;4.0;2023;0;0;0;1;56.9939864;24.1647615
338800.0;42.98;1;7;10585.7;2023;0.0;92.2;9;4;5.0;2023;0;0;0;1;56.9667944;24.1034056
4800.0;31.21;1;3;2094.0;1951;50.0;13.9;1;1;3.0;2023;0;1;0;0;57.0298254;24.1124874
130465.0;23.38;1;9;6814.7;2022;0.0;51.1;5;2;4.0;2023;0;0;0;1;56.9524622;24.007836
38000.0;16.4;1;9;5894.0;1988;29.0;51.9;8;2;2.0;2023;0;0;0;1;57.0392648;24.1021226
39900.0;45.86;1;13;5267.9;1969;31.0;36.8;5;1;4.0;2023;0;0;0;1;56.9762152;24.2426174
33300.0;19.13;2;5;1251.4;1900;36.0;23.0;2;1;4.0;2023;0;0;0;1;56.9407214;24.129192
150000.0;141.67;1;4;1862.4;2018;0.0;84.6;6;3;2.0;2023;0;0;0;1;56.9421715;24.0204429
259400.0;36.69;1;7;10585.7;2023;0.0;78.7;8;4;3.0;2023;0;1;0;0;56.9667944;24.1034056
61000.0;82.53;1;14;4798.7;1981;20.0;75.2;9;3;1.0;2023;0;0;0;1;56.9510592;24.0485348
3500.0;168.41;2;3;504.7;1962;50.0;30.9;4;2;1.0;2023;1;0;0;0;56.9229131;24.0765993
214250.0;51.83;1;10;5256.0;2022;0.0;80.4;8;4;8.0;2023;0;0;0;1;56.9656626;24.2341883
195400.0;55.5;1;10;5256.0;2022;0.0;86.1;8;4;2.0;2023;0;0;0;1;56.9656626;24.2341883
