Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
99500.0;104.18;1;5;5337.7;2019;0;68.0;7;3;4.0;2019;0;0;0;1;56.9556183;24.1854622
73000.0;73.34;1;9;7161.0;1983;25;62.7;8;3;6.0;2019;0;0;0;1;56.954067;24.1982877
103000.0;17.26;6;6;4969.3;1910;60;53.1;3;2;4.0;2019;0;0;0;1;56.9507031;24.120468
38500.0;59.23;1;5;3997.6;1971;30;49.5;8;2;5.0;2019;0;0;0;1;56.961398;24.0312235
68500.0;67.72;1;5;5337.7;2019;0;44.2;3;2;1.0;2019;0;0;0;1;56.9556183;24.1854622
46000.0;38.04;1;5;1576.5;1938;48;51.1;5;2;1.0;2019;0;1;0;0;56.9588355;24.1367846
79990.0;27.92;1;6;3065.0;1912;34;71.9;5;2;6.0;2019;0;0;0;1;56.9620966;24.1222682
41000.0;52.61;1;5;4225.0;1983;25;39.7;6;1;2.0;2019;0;0;0;1;56.9494172;24.2038772
53500.0;45.04;1;5;5337.7;2019;0;29.4;3;2;1.0;2019;0;0;0;1;56.9556183;24.1854622
37500.0;41.37;1;9;3636.0;1984;20;43.8;6;1;6.0;2019;0;0;0;1;56.9420344;24.200904
203000.0;36.29;1;8;15614.8;2018;0;116.1;9;4;3.0;2019;0;0;0;1;56.9657079;24.1052027
59500.0;69.27;1;5;9452.1;1988;20;52.9;7;2;3.0;2019;0;0;0;1;56.9524347;24.194641
5751.0;111.85;4;2;339.3;1896;65;33.8;5;2;2.0;2019;0;1;0;0;56.9476092;24.1486092
21000.0;37.24;1;10;3926.2;1971;20;34.1;4;1;4.0;2019;0;0;0;1;57.0026173;24.1284255
50000.0;66.23;1;9;6205.3;1985;0;79.1;14;3;5.0;2019;0;0;0;1;56.9491121;24.0007677
100000.0;28.41;4;5;2143.2;1880;24;60.5;3;2;3.0;2019;0;0;0;1;56.962974;24.1281688
82500.0;109.2;3;6;2876.8;1920;23;61.8;6;2;3.0;2019;0;0;0;1;56.9738523;24.1095199
41000.0;25.86;22;6;1868.5;1910;50;31.2;4;1;5.0;2019;0;0;0;1;56.9610403;24.1471018
160000.0;123.63;1;6;2608.0;2007;3;122.3;8;4;5.0;2019;0;0;0;1;56.9435533;24.1752892
50000.0;167.2;2;3;833.5;1937;45;53.2;6;2;2.0;2019;0;1;0;0;56.9787035;24.1751113
