Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums;Remonts;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
99500.0;104.18;1;5;5337.7;2019;0;68.0;7;3;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
73000.0;73.34;1;9;7161.0;1983;25;62.7;8;3;56.954067;24.1982877;NULL;6.0;2019;0;0;0;1
103000.0;17.26;6;6;4969.3;1910;60;53.1;3;2;56.9507031;24.120468;NULL;4.0;2019;0;0;0;1
38500.0;59.23;1;5;3997.6;1971;30;49.5;8;2;56.961398;24.0312235;NULL;5.0;2019;0;0;0;1
68500.0;67.72;1;5;5337.7;2019;0;44.2;3;2;56.9556183;24.1854622;NULL;1.0;2019;0;0;0;1
46000.0;38.04;1;5;1576.5;1938;48;51.1;5;2;56.9588355;24.1367846;NULL;1.0;2019;0;1;0;0
79990.0;27.92;1;6;3065.0;1912;34;71.9;5;2;56.9620966;24.1222682;NULL;6.0;2019;0;0;0;1
41000.0;52.61;1;5;4225.0;1983;25;39.7;6;1;56.9494172;24.2038772;NULL;2.0;2019;0;0;0;1
53500.0;45.04;1;5;5337.7;2019;0;29.4;3;2;56.9556183;24.1854622;NULL;1.0;2019;0;0;0;1
37500.0;41.37;1;9;3636.0;1984;20;43.8;6;1;56.9420344;24.200904;NULL;6.0;2019;0;0;0;1
4760.0;39.78;2;2;217.4;1910;45;24.5;2;1;56.9163191;24.1070677;0;2.0;2019;0;0;0;1
203000.0;36.29;1;8;15614.8;2018;0;116.1;9;4;56.9657079;24.1052027;NULL;3.0;2019;0;0;0;1
59500.0;69.27;1;5;9452.1;1988;20;52.9;7;2;56.9524347;24.194641;NULL;3.0;2019;0;0;0;1
5751.0;111.85;4;2;339.3;1896;65;33.8;5;2;56.9476092;24.1486092;0;2.0;2019;0;1;0;0
21000.0;37.24;1;10;3926.2;1971;20;34.1;4;1;57.0026173;24.1284255;NULL;4.0;2019;0;0;0;1
50000.0;66.23;1;9;6205.3;1985;0;79.1;14;3;56.9491121;24.0007677;NULL;5.0;2019;0;0;0;1
100000.0;28.41;4;5;2143.2;1880;24;60.5;3;2;56.962974;24.1281688;NULL;3.0;2019;0;0;0;1
82500.0;109.2;3;6;2876.8;1920;23;61.8;6;2;56.9738523;24.1095199;NULL;3.0;2019;0;0;0;1
41000.0;25.86;22;6;1868.5;1910;50;31.2;4;1;56.9610403;24.1471018;NULL;5.0;2019;0;0;0;1
160000.0;123.63;1;6;2608.0;2007;3;122.3;8;4;56.9435533;24.1752892;NULL;5.0;2019;0;0;0;1
50000.0;167.2;2;3;833.5;1937;45;53.2;6;2;56.9787035;24.1751113;NULL;2.0;2019;0;1;0;0
30000.0;48.59;1;5;2528.2;1971;15;34.3;6;2;56.9427186;24.0724094;NULL;4.0;2019;0;0;0;1
1000.0;8.55;2;9;3433.1;1911;45;195.6;14;8;56.961709;24.1094579;NULL;1.0;2019;0;1;0;0
169600.0;84.9;1;5;6955.6;2019;0;103.0;9;4;56.9556201;24.0534049;NULL;3.0;2019;0;0;0;1
33300.0;21.53;2;5;1683.1;1972;50;44.4;5;2;56.9695253;24.0993546;NULL;1.0;2019;0;0;0;1
20000.0;36.15;1;3;1184.3;1960;20;17.9;4;1;56.9398675;24.0373179;1;1.0;2019;0;0;0;1
37800.0;8.91;1;6;3065.0;1912;34;53.0;4;2;56.9620966;24.1222682;NULL;1.0;2019;0;0;0;1
122000.0;35.12;1;9;11940.4;2017;0;68.6;6;3;56.9886702;24.1689025;NULL;8.0;2019;0;1;0;0
70000.0;19.97;1;9;11940.4;2017;0;39.0;4;2;56.9886702;24.1689025;NULL;6.0;2019;0;0;0;1
71100.0;65.52;1;9;7340.0;1987;15;74.2;11;4;56.9527736;24.1923377;NULL;2.0;2019;0;0;0;1
84000.0;76.91;1;5;5337.7;2019;0;50.2;4;2;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
98000.0;84.42;1;5;5337.7;2019;0;55.1;6;3;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
165000.0;37.57;1;5;2222.8;2006;0;111.1;9;4;56.9591286;24.1493647;NULL;3.0;2019;0;0;0;1
33000.0;38.25;1;5;3957.2;1986;15;33.2;6;1;56.938818;24.1866338;NULL;4.0;2019;0;0;0;1
37800.0;52.83;1;5;3528.0;1972;30;44.5;7;2;56.9577054;24.0499838;NULL;4.0;2019;0;0;0;1
70000.0;22.82;2;6;1422.7;1880;40;51.8;5;3;56.949484;24.125225;NULL;5.0;2019;0;0;0;1
31000.0;15.42;1;6;843.6;1890;55;51.4;7;3;56.948206;24.1189418;NULL;1.0;2019;0;0;0;1
39000.0;51.76;1;5;2766.4;1963;35;41.1;5;2;57.0003356;24.1243482;NULL;5.0;2019;0;0;0;1
110500.0;97.14;1;5;5337.7;2019;0;63.4;6;3;56.9556183;24.1854622;NULL;1.0;2019;0;0;0;1
104000.0;101.27;1;5;5337.7;2019;0;66.1;7;3;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
90847.0;27.28;1;5;6246.9;1904;35;76.2;7;2;56.9440245;24.0794221;NULL;2.0;2019;0;0;0;1
61000.0;67.84;1;5;4914.0;1979;15;59.6;9;3;56.9511312;24.198465;NULL;3.0;2019;0;0;0;1
119500.0;100.2;1;5;5337.7;2019;0;65.4;7;3;56.9556183;24.1854622;NULL;3.0;2019;0;0;0;1
79500.0;72.16;1;5;5337.7;2019;0;47.1;4;2;56.9556183;24.1854622;NULL;5.0;2019;0;0;0;1
98500.0;84.88;1;5;5337.7;2019;0;55.4;6;3;56.9556183;24.1854622;NULL;5.0;2019;0;0;0;1
4000.0;135.54;2;2;312.8;1860;60;24.9;1;1;57.0059332;24.1220009;NULL;2.0;2019;0;0;0;1
31000.0;11.57;1;9;5895.4;1988;20;36.6;7;1;57.0392648;24.1021226;NULL;5.0;2019;0;0;0;1
7000.0;59.3;3;2;416.0;1911;60;25.0;3;1;56.9874108;24.2219236;NULL;1.0;2019;0;0;0;1
10000.0;102.09;1;2;198.4;1930;60;26.2;4;1;56.9313363;24.0566099;NULL;1.0;2019;0;0;0;1
29200.0;41.53;1;5;4450.9;1982;20;43.2;6;1;56.9496256;24.2024077;NULL;5.0;2019;0;0;0;1
43900.0;65.55;1;5;3607.3;1963;40;40.9;5;2;56.9785091;24.1718626;NULL;5.0;2019;0;0;0;1
98212.5;26.11;3;5;1153.6;1900;30;48.5;3;2;56.952689;24.1298802;NULL;4.0;2019;0;0;0;1
5150.0;85.11;2;2;654.3;1940;60;24.5;2;1;56.9295543;24.1693682;0;2.0;2019;0;1;0;0
