Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
25900.0;1;5;5788.2;1972;18.0;27.2;4;1;5.0;2023;0;0;0;1;56.9607587;24.0222638
36000.0;1;9;4436.5;1989;5.0;44.9;6;1;7.0;2023;0;0;0;1;56.9685215;24.0496182
28000.0;1;5;4980.1;1965;35.0;44.2;5;2;1.0;2023;0;0;0;1;56.9059669;24.182194
48000.0;1;10;8926.2;1977;31.0;52.0;9;2;6.0;2023;0;0;0;1;56.9583125;23.998163
15000.0;2;5;2477.7;1975;15.0;36.0;7;2;4.0;2023;0;0;0;1;56.9637721;24.06362
75000.0;1;12;4612.4;1984;29.0;84.3;9;3;4.0;2023;0;0;0;1;56.9557134;24.0518953
50000.0;1;9;2478.3;1984;10.0;59.7;9;3;4.0;2023;0;0;0;1;57.033061;24.1055257
29000.0;1;5;3613.5;1968;45.0;31.9;5;1;4.0;2023;0;0;0;1;56.9010091;24.2141965
41500.0;1;5;3597.7;1966;30.0;62.4;8;3;2.0;2023;0;0;0;1;56.9170112;24.1844202
20000.0;1;10;6370.1;1974;31.0;63.3;11;3;9.0;2023;0;0;0;1;56.9649735;24.0221382
53000.0;4;4;1178.0;1912;36.0;55.2;8;3;3.0;2023;0;0;0;1;56.9479581;24.1375131
25500.0;1;5;4047.3;1976;30.0;55.0;7;2;2.0;2023;0;1;0;0;57.0374251;24.0938662
53000.0;1;9;16037.1;1978;30.0;61.1;10;3;2.0;2023;0;0;0;1;56.9656285;24.1816148
37000.0;1;5;4141.9;1975;30.0;49.6;7;2;4.0;2023;0;0;0;1;56.9581417;24.0056295
29500.0;1;5;1004.2;1965;40.0;42.2;5;2;5.0;2023;0;0;0;1;56.9406704;24.1524444
45000.0;1;6;3449.0;1981;10.0;53.8;7;2;3.0;2023;0;0;0;1;57.0529757;24.0671306
45000.0;1;5;7655.2;1971;30.0;54.0;8;3;3.0;2023;0;0;0;1;56.9634333;24.0245709
49610.04;1;5;5226.1;1985;28.0;53.8;7;2;2.0;2023;0;0;0;1;56.9487687;24.0485031
40000.0;1;9;4844.5;1984;30.0;49.8;7;2;5.0;2023;0;0;0;1;56.9553235;24.1940651
3250.0;2;2;264.6;1915;35.0;22.4;2;1;1.0;2023;0;0;1;0;56.91653;24.1253507
26000.0;1;5;4083.5;1989;27.0;39.7;6;1;5.0;2023;0;0;0;1;57.0403344;24.0310863
30000.0;1;5;7772.9;1968;30.0;49.0;8;2;3.0;2023;0;0;0;1;56.9096362;24.1994164
84800.0;1;5;3019.4;1980;16.0;69.9;8;3;3.0;2023;0;0;0;1;56.968343;24.1754808
40000.0;1;5;4082.7;1974;30.0;69.8;10;3;5.0;2023;0;0;0;1;56.9642724;24.0129222
200000.0;1;6;11039.0;1928;32.0;124.4;10;4;5.0;2023;0;0;0;1;56.9603325;24.0985868
38000.0;1;4;3035.2;1964;27.0;45.1;6;2;4.0;2023;0;0;0;1;56.9655371;24.1895219
9000.0;4;6;2610.3;1909;31.0;44.0;3;2;2.0;2023;0;0;0;1;56.9463254;24.14128
25984.0;1;9;12118.1;1987;29.0;62.1;9;3;4.0;2023;0;0;0;1;56.9530495;24.1917785
37000.0;1;3;758.9;1959;40.0;47.3;7;2;1.0;2023;0;0;0;1;56.9384954;24.0364301
6000.0;2;5;1917.9;1914;48.0;26.2;2;1;2.0;2023;0;0;0;1;56.9472752;24.1418625
15900.0;1;5;3686.4;1965;20.0;40.9;6;2;5.0;2023;0;0;0;1;57.0396554;24.0250337
25000.0;3;9;2429.9;1982;30.0;32.4;8;1;4.0;2023;0;0;0;1;56.9380445;24.1969204
27000.0;1;10;7247.3;1976;25.0;48.3;7;2;5.0;2023;0;0;0;1;56.925796;24.1682424
48000.0;1;9;15777.0;1984;31.0;43.7;7;1;6.0;2023;0;0;0;1;56.9468356;24.1925091
113650.0;1;12;5436.2;1997;5.0;110.4;10;4;9.0;2023;0;0;0;1;56.937656;24.2058491
90000.0;1;3;1456.9;1957;40.0;75.7;8;3;2.0;2023;0;0;0;1;56.9656697;24.1790469
48250.0;1;5;4778.3;1964;30.0;49.1;7;2;1.0;2023;0;0;0;1;56.9131788;24.1745517
40000.0;1;5;3240.6;1980;32.0;56.3;9;3;5.0;2023;0;0;0;1;57.033773;24.0915153
25500.0;1;10;7207.3;1982;30.0;31.8;6;1;3.0;2023;0;0;0;1;56.9380759;24.1974668
28000.0;2;5;2777.1;1962;35.0;42.2;5;2;1.0;2023;0;0;0;1;56.9403904;24.1451141
107000.0;1;2;2800.2;2013;0.0;199.1;14;4;1.5;2023;0;0;0;1;56.9520701;23.9916082
155000.0;1;4;6229.0;2007;13.0;139.6;6;3;4.0;2023;0;0;0;1;56.941078;24.0033036
40000.0;1;10;6402.6;1977;30.0;51.0;9;2;7.0;2023;0;0;0;1;56.9578949;23.9980061
11000.0;1;4;3518.7;1963;31.0;16.7;3;1;3.0;2023;0;0;0;1;56.9672864;24.181126
30000.0;1;5;5456.5;1968;30.0;35.9;5;2;1.0;2023;0;0;0;1;56.8999702;24.2154519
46000.0;1;5;4059.3;1970;30.0;48.8;7;2;5.0;2023;0;0;0;1;56.9691591;24.0547258
41000.0;1;5;3561.4;1967;30.0;38.0;6;2;5.0;2023;0;0;0;1;56.9201113;24.1742432
14250.0;1;9;8217.3;1987;28.0;36.1;7;1;7.0;2023;0;0;0;1;56.9418149;24.2285131
53000.0;1;17;7460.7;1979;15.0;60.5;6;2;16.0;2023;0;0;0;1;56.9281046;24.1698937
58500.0;1;5;5110.0;1966;18.0;58.9;6;3;1.0;2023;0;0;0;1;56.916544;24.1762588
48090.0;1;12;5233.8;1983;30.0;70.5;8;3;2.0;2023;0;0;0;1;56.9520388;24.1803488
