Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
22900.0;1;13;5116.3;1976;20;32.8;6;1;1.0;2019;0;0;0;1;56.9090279;24.1834002
19000.0;1;3;2039.3;1954;30;25.4;2;1;2.0;2019;0;0;0;1;56.9745927;24.1043506
24900.0;1;13;4968.7;1977;25;37.7;5;1;1.0;2019;0;0;0;1;56.9039755;24.1985773
20000.0;1;9;2499.2;1979;20;51.0;7;2;1.0;2019;0;0;0;1;57.0319553;24.1082703
31400.0;1;10;2165.2;1985;20;31.9;5;1;8.0;2019;0;0;0;1;56.9366389;24.2125943
48950.0;1;9;9825.9;1978;20;63.0;11;3;9.0;2019;0;0;0;1;56.9608716;24.234102
61500.0;1;11;1711.7;1992;10;58.2;7;2;1.0;2019;0;0;0;1;56.9020334;24.0942028
54000.0;1;9;8342.9;1981;20;64.8;9;3;9.0;2019;0;0;0;1;56.9346737;24.1958842
17100.0;1;10;6801.1;1974;30;36.8;5;1;2.0;2019;0;0;0;1;56.9608178;24.0047656
37000.0;1;9;1902.5;1988;10;50.7;9;2;4.0;2019;0;0;0;1;56.9446161;24.2143941
20410.0;1;5;4173.0;1983;20;40.3;6;2;1.0;2019;0;0;0;1;56.9402243;24.1967039
118000.0;1;7;3994.8;2014;1;59.8;3;2;5.0;2019;0;0;0;1;56.9534491;24.1214437
81000.0;1;4;3118.8;2006;0;60.2;5;2;3.0;2019;0;0;0;1;56.9582615;24.2442269
26000.0;1;11;3442.7;2003;0;45.7;5;1;5.0;2019;0;0;0;1;56.9000364;24.0834793
30000.0;1;7;4077.9;1982;15;33.9;5;1;4.0;2019;0;0;0;1;56.9645439;24.0616903
38000.0;1;10;8491.5;1976;20;52.1;8;2;9.0;2019;0;0;0;1;56.9679614;24.0155086
41000.0;1;10;17867.1;1980;25;51.3;9;2;8.0;2019;0;0;0;1;56.9686669;24.2345635
27500.0;1;5;4787.5;1964;35;33.7;5;1;1.0;2019;0;0;0;1;56.9119843;24.1756587
20000.0;1;12;4194.9;1977;15;44.2;6;2;4.0;2019;0;0;0;1;56.9184591;24.1736901
52450.0;1;9;11975.5;1978;40;61.8;11;3;9.0;2019;0;0;0;1;56.9710237;24.2322762
20000.0;1;5;1957.6;1960;35;38.5;5;2;5.0;2019;0;0;0;1;56.9705379;24.1020869
39000.0;1;10;3931.0;1982;5;42.8;5;1;6.0;2019;0;0;0;1;57.0005919;24.1208723
40500.0;1;5;5853.5;1972;30;59.3;8;3;1.0;2019;0;0;0;1;56.953445;24.0289277
24850.0;1;5;4450.6;1983;14;43.0;6;1;3.0;2019;0;0;0;1;57.0345975;24.0942389
41849.0;1;5;5012.1;1971;20;49.3;5;2;4.0;2019;0;0;0;1;56.9715827;24.0535826
44200.0;1;11;13615.0;1991;5;59.4;9;2;1.0;2019;0;0;0;1;56.9018053;24.0861318
49920.0;1;5;18366.9;2007;3;38.4;3;2;3.0;2019;0;0;0;1;56.9562778;24.2433428
56800.0;1;5;18366.9;2007;3;49.4;4;2;2.0;2019;0;0;0;1;56.9562778;24.2433428
86000.0;1;5;7600.0;2006;0;69.9;7;3;2.0;2019;0;0;0;1;56.9362289;24.0167488
52000.0;1;9;9471.1;1981;15;60.8;9;2;2.0;2019;0;0;0;1;56.9522006;24.1772376
12810.81;1;5;5001.5;1964;40;60.1;9;3;2.0;2019;0;0;0;1;56.9121527;24.1736851
68000.0;1;6;2007.7;1980;15;53.6;7;2;5.0;2019;0;0;0;1;56.9688526;24.1305387
