Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
12000.0;47.53;1;5;2724.1;1964;40.0;54.4;9;3;55.875;26.535556;5.0;2023;0;0;0;1
3000.0;47.88;1;5;3318.5;1975;30.0;44.8;7;2;55.875;26.535556;5.0;2023;0;0;0;1
12000.0;49.51;1;5;3511.0;1963;51.0;42.3;5;2;55.875;26.535556;1.0;2023;0;0;0;1
5500.0;36.95;1;5;8754.6;1982;28.0;33.6;5;1;55.875;26.535556;2.0;2023;0;0;0;1
20000.0;28.85;1;14;4674.1;1975;31.0;45.6;6;2;55.875;26.535556;11.0;2023;0;0;0;1
5500.0;31.99;1;9;3863.3;1988;20.0;43.8;5;1;55.875;26.535556;5.0;2023;0;0;0;1
2000.0;231.36;4;1;312.5;1917;55.0;23.0;3;1;55.875;26.535556;1.0;2023;0;0;0;1
4200.0;21.48;1;14;4674.1;1975;31.0;33.8;4;1;55.875;26.535556;2.0;2023;0;0;0;1
8000.0;84.52;2;3;812.5;1972;50.0;38.2;5;2;55.875;26.535556;2.0;2023;0;0;0;1
7000.0;20.99;1;5;6314.0;1987;26.0;36.7;4;2;55.875;26.535556;2.0;2023;0;0;0;1
10000.0;46.55;1;5;6616.5;1972;35.0;54.7;7;2;55.875;26.535556;5.0;2023;0;0;0;1
30000.0;52.96;1;5;3785.4;1969;30.0;50.2;7;2;55.875;26.535556;5.0;2023;0;0;0;1
2900.0;28.65;1;9;3775.0;1966;40.0;31.1;5;1;55.875;26.535556;1.0;2023;0;0;0;1
8000.0;44.41;1;9;3753.6;1983;25.0;43.2;6;1;55.875;26.535556;8.0;2023;0;0;0;1
38000.0;41.9;1;5;4856.6;1984;40.0;65.5;8;3;55.875;26.535556;3.0;2024;0;0;0;1
16700.0;49.79;1;5;7914.0;1989;30.0;61.7;8;3;55.875;26.535556;2.0;2024;0;0;0;1
