Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
8200.0;51.03;1;5;4821.2;1969;40;49.5;7;2;55.875;26.535556;3.0;2019;0;0;0;1
10000.0;62.56;1;5;3318.2;1979;25;47.1;7;2;55.875;26.535556;3.0;2019;0;0;0;1
8000.0;42.1;1;9;7132.0;1990;10;49.7;7;2;55.875;26.535556;2.0;2019;0;0;0;1
19000.0;64.3;2;5;2850.1;1986;10;67.0;8;3;55.875;26.535556;1.0;2019;0;0;0;1
6000.0;141.85;1;2;441.3;1956;40;53.3;6;2;55.875;26.535556;2.0;2019;0;1;0;0
4500.0;37.75;1;5;3317.8;1974;35;39.3;6;2;55.875;26.535556;4.0;2019;0;0;0;1
2000.0;8.35;1;4;1066.5;1974;40;25.6;4;1;55.875;26.535556;3.0;2019;0;0;0;1
17760.0;83.79;1;5;4911.3;1985;10;58.3;7;3;55.875;26.535556;1.0;2019;0;0;0;1
5000.0;35.13;1;5;3578.2;1980;30;36.8;5;2;55.875;26.535556;1.0;2014;0;0;1;0
12000.0;57.22;1;5;3929.2;1980;30;45.8;6;2;55.875;26.535556;4.0;2019;0;0;0;1
6735.0;58.28;1;5;4728.9;1988;15;54.3;7;2;55.875;26.535556;5.0;2019;0;0;0;1
1707.45;74.52;1;5;3017.5;1994;25;45.4;6;2;55.875;26.535556;3.0;2003;0;1;0;0
5400.0;34.83;1;5;3409.1;1975;30;37.7;6;2;55.875;26.535556;4.0;2019;0;0;0;1
4730.0;299.47;3;1;187.4;1905;60;57.5;8;3;55.875;26.535556;0.0;2019;0;1;0;0
4000.0;553.85;2;1;183.3;1957;45;48.0;8;2;55.875;26.535556;0.0;2019;0;0;0;1
8000.0;26.96;1;5;4966.1;1974;30;42.1;6;2;55.875;26.535556;1.0;2019;0;0;0;1
27000.0;44.4;1;9;2381.0;1980;40;57.2;10;3;55.875;26.535556;1.0;2019;0;0;0;1
10000.0;64.68;1;5;4911.3;1985;10;45.0;7;2;55.875;26.535556;4.0;2019;0;0;0;1
4000.0;37.39;1;5;4694.6;1986;20;32.3;5;1;55.875;26.535556;1.0;2020;0;0;0;1
4850.0;33.59;1;5;3299.0;1989;10;37.1;6;2;55.875;26.535556;2.0;2019;0;0;0;1
9500.0;20.86;1;5;4114.5;1989;20;43.6;6;2;55.875;26.535556;1.0;2019;0;0;0;1
8000.0;35.02;1;9;4982.9;1980;20;49.6;7;2;55.875;26.535556;5.0;2019;0;1;0;0
11000.0;41.34;1;5;4998.2;1986;25;36.6;5;2;55.875;26.535556;1.0;2020;0;0;0;1
20000.0;47.15;1;5;5012.3;1984;20;46.7;6;2;55.875;26.535556;3.0;2019;0;0;0;1
10000.0;52.43;1;5;3447.0;1964;30;43.2;6;2;55.875;26.535556;5.0;2019;0;0;0;1
4300.0;27.55;1;5;3434.3;1963;40;30.1;5;1;55.875;26.535556;5.0;2020;0;0;0;1
4000.0;20.0;1;5;3668.4;1969;30;33.6;6;1;55.875;26.535556;3.0;2019;0;0;0;1
3670.0;33.97;1;9;3902.6;1969;30;31.4;4;1;55.875;26.535556;6.0;2020;0;0;0;1
14000.0;25.4;1;5;3311.0;1973;40;36.9;6;2;55.875;26.535556;3.0;2020;0;0;0;1
2000.0;23.18;1;5;2606.9;1964;40;30.0;5;1;55.875;26.535556;3.0;2020;0;0;0;1
16600.0;35.24;1;5;5369.2;1973;30;55.2;7;2;55.875;26.535556;2.0;2020;0;0;0;1
3100.0;322.53;6;2;526.2;1971;40;43.2;4;2;55.875;26.535556;2.0;2019;0;1;0;0
5400.0;35.07;1;5;3443.9;1964;40;30.2;4;1;55.875;26.535556;1.0;2019;0;0;0;1
18000.0;26.86;1;5;2704.4;1969;30;49.9;7;2;55.875;26.535556;5.0;2020;0;0;0;1
7500.0;72.0;1;5;4902.6;1985;10;59.2;9;4;55.875;26.535556;2.0;2020;0;0;0;1
10000.0;18.7;1;5;2688.3;1960;45;51.7;5;3;55.875;26.535556;1.0;2020;0;0;0;1
15500.0;38.39;1;9;2310.5;1976;20;50.6;7;2;55.875;26.535556;3.0;2020;0;0;0;1
10000.0;72.18;1;5;5713.1;1988;20;53.7;7;2;55.875;26.535556;5.0;2020;0;0;0;1
10000.0;76.32;1;5;6595.5;1987;10;44.8;7;2;55.875;26.535556;2.0;2020;0;0;0;1
11700.0;39.28;1;5;2257.8;1963;40;43.6;6;2;55.875;26.535556;3.0;2020;0;0;0;1
3000.0;34.04;1;5;4247.1;1990;20;33.5;6;1;55.875;26.535556;4.0;2019;0;1;0;0
30000.0;130.82;1;3;2666.6;1953;60;83.6;9;3;55.875;26.535556;1.0;2020;0;0;0;1
5000.0;42.21;1;4;4581.3;1963;40;32.6;4;1;55.875;26.535556;4.0;2020;0;0;0;1
6100.0;39.67;1;9;3728.5;1967;45;43.6;6;2;55.875;26.535556;3.0;2019;0;1;0;0
6000.0;69.86;1;9;2480.8;1988;20;49.1;7;2;55.875;26.535556;2.0;2020;0;0;0;1
9600.0;65.32;5;3;243.7;1896;60;37.6;5;2;55.875;26.535556;1.0;2019;0;0;1;0
5460.0;33.95;1;5;7022.3;1976;40;45.8;6;2;55.875;26.535556;2.0;2020;0;0;0;1
6500.0;47.34;1;5;2673.0;1983;20;32.0;5;1;55.875;26.535556;4.0;2020;0;0;0;1
