Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
1000.0;1;5;5871.8;1981;29.0;62.4;8;3;55.875;26.535556;4.0;2023;0;0;0;1
25000.0;1;5;2077.2;1990;15.0;53.7;7;2;55.875;26.535556;3.0;2023;0;0;0;1
3500.0;1;9;5751.4;1991;20.0;56.6;7;2;55.875;26.535556;4.0;2024;0;0;0;1
11000.0;1;5;2684.5;1961;30.0;41.4;6;2;55.875;26.535556;4.0;2024;0;0;0;1
5000.0;1;3;947.4;1959;45.0;42.1;5;2;55.875;26.535556;1.0;2024;0;0;0;1
11000.0;1;5;2684.5;1961;30.0;41.4;6;2;55.875;26.535556;4.0;2024;0;0;0;1
6000.0;1;5;2230.8;1962;30.0;40.7;5;2;55.875;26.535556;4.0;2024;0;0;0;1
3400.0;1;5;5871.8;1981;29.0;32.0;5;1;55.875;26.535556;2.0;2024;0;0;0;1
54000.0;1;6;2254.2;2006;5.0;79.6;9;3;55.875;26.535556;3.0;2024;0;0;0;1
7000.0;1;9;3940.2;1970;31.0;48.2;7;2;55.875;26.535556;6.0;2024;1;0;0;0
6000.0;1;5;2358.0;1972;30.0;24.7;4;1;55.875;26.535556;1.0;2024;1;0;0;0
5260.0;3;2;577.7;1958;50.0;30.3;6;1;55.875;26.535556;2.0;2024;1;0;0;0
39000.0;1;6;2403.9;2007;14.0;54.7;3;2;55.875;26.535556;4.0;2024;1;0;0;0
47700.0;1;6;3684.4;1994;10.0;68.3;9;3;55.875;26.535556;5.0;2024;1;0;0;0
23300.0;1;6;2254.2;2006;5.0;59.7;6;2;55.875;26.535556;5.0;2024;1;0;0;0
47500.0;1;5;5871.8;1981;29.0;62.3;8;3;55.875;26.535556;5.0;2024;1;0;0;0
5500.0;1;5;6472.6;1968;30.0;49.8;7;2;55.875;26.535556;5.0;2024;1;0;0;0
35700.0;1;9;5751.4;1991;20.0;69.4;9;3;55.875;26.535556;6.0;2024;1;0;0;0
7930.0;1;5;3714.9;1977;20.0;66.7;8;3;55.875;26.535556;5.0;2024;1;0;0;0
4000.0;1;5;6472.6;1968;30.0;26.3;4;1;55.875;26.535556;2.0;2024;1;0;0;0
2700.0;3;2;577.7;1958;50.0;30.5;6;1;55.875;26.535556;2.0;2024;1;0;0;0
6000.0;1;5;3043.3;1987;10.0;53.9;6;2;55.875;26.535556;2.0;2023;0;0;0;1
2900.0;3;2;577.7;1958;50.0;30.5;6;1;55.875;26.535556;2.0;2024;1;0;0;0
4000.0;3;1;227.8;1930;50.0;63.4;8;3;55.875;26.535556;0.0;2024;1;0;0;0
6500.0;1;5;2662.0;1962;40.0;44.9;6;2;55.875;26.535556;4.0;2024;1;0;0;0
37500.0;1;5;2230.8;1962;30.0;40.4;5;2;55.875;26.535556;3.0;2024;0;0;1;0
37500.0;1;5;2230.8;1962;30.0;42.8;5;2;55.875;26.535556;3.0;2024;0;0;1;0
20000.0;1;5;3714.9;1977;20.0;54.0;7;2;55.875;26.535556;1.0;2024;0;0;1;0
17000.0;1;9;3940.2;1970;31.0;46.6;7;2;55.875;26.535556;3.0;2024;0;0;1;0
5000.0;1;5;5871.8;1981;29.0;32.0;5;1;55.875;26.535556;2.0;2024;0;0;1;0
8000.0;1;5;2358.0;1972;30.0;34.8;6;2;55.875;26.535556;1.0;2024;0;0;1;0
14000.0;1;5;2684.5;1961;30.0;42.8;6;2;55.875;26.535556;2.0;2024;0;0;1;0
7000.0;1;9;3940.2;1970;31.0;48.2;7;2;55.875;26.535556;6.0;2024;0;0;1;0
19800.0;1;5;6472.6;1968;30.0;48.9;7;2;55.875;26.535556;4.0;2024;0;0;1;0
10200.0;1;3;574.4;1964;40.0;43.7;6;2;55.875;26.535556;3.0;2024;0;0;1;0
5700.0;1;5;4786.4;1967;30.0;49.5;7;2;55.875;26.535556;5.0;2024;0;1;0;0
20000.0;1;5;3310.1;1977;40.0;60.9;7;3;55.875;26.535556;1.0;2024;0;0;1;0
18300.0;1;5;2077.2;1990;15.0;56.0;7;2;55.875;26.535556;3.0;2024;0;0;1;0
8000.0;1;5;5361.0;1989;30.0;46.4;5;2;55.875;26.535556;2.0;2024;0;1;0;0
30000.0;1;5;5719.6;1974;30.0;66.2;8;3;55.875;26.535556;4.0;2024;0;1;0;0
65000.0;1;9;5751.4;1991;20.0;88.5;9;4;55.875;26.535556;1.0;2024;0;1;0;0
40000.0;1;5;5871.8;1981;29.0;60.5;8;4;55.875;26.535556;4.0;2024;0;1;0;0
33500.0;1;3;651.2;1959;36.0;41.3;3;2;55.875;26.535556;3.0;2024;0;1;0;0
16200.0;1;5;3000.8;1991;10.0;67.8;8;3;55.875;26.535556;1.0;2024;0;0;1;0
15500.0;1;5;3718.8;1973;30.0;40.6;6;2;55.875;26.535556;4.0;2024;0;1;0;0
16500.0;1;5;3310.1;1977;40.0;29.2;4;1;55.875;26.535556;1.0;2024;0;1;0;0
4000.0;3;2;577.7;1958;50.0;29.7;6;1;55.875;26.535556;1.0;2024;0;1;0;0
18000.0;1;5;4964.8;1974;30.0;62.1;8;3;55.875;26.535556;5.0;2024;0;1;0;0
2000.0;1;5;5871.8;1981;29.0;46.9;7;2;55.875;26.535556;3.0;2024;0;0;0;1
26500.0;1;5;3043.3;1987;10.0;53.9;6;2;55.875;26.535556;2.0;2024;0;0;0;1
2000.0;1;3;1296.8;1964;45.0;30.0;4;1;56.499444;25.878333;2.0;2018;0;0;1;0
7800.0;1;5;4449.5;1984;20.0;36.9;4;1;56.499444;25.878333;5.0;2023;0;0;0;1
22600.0;1;5;4816.5;1974;25.0;55.3;7;2;56.499444;25.878333;1.0;2023;0;0;0;1
4600.0;1;5;2548.6;1988;10.0;47.0;7;2;56.499444;25.878333;3.0;2024;0;0;0;1
13000.0;1;5;4985.9;1974;30.0;38.6;6;2;56.499444;25.878333;2.0;2024;0;0;0;1
11500.0;1;5;3850.3;1978;29.0;35.3;4;1;56.499444;25.878333;3.0;2024;0;0;0;1
16200.0;1;3;1678.3;1986;10.0;61.3;11;3;56.499444;25.878333;2.0;2023;1;0;0;0
7900.0;1;5;7562.1;1985;23.0;52.8;7;2;56.499444;25.878333;4.0;2020;0;1;0;0
8000.0;1;5;4449.5;1984;20.0;36.3;4;1;56.499444;25.878333;1.0;2024;0;0;0;1
42000.0;1;4;3787.5;1987;27.0;69.6;9;3;56.499444;25.878333;1.0;2024;0;0;0;1
21000.0;1;5;5060.6;1980;20.0;44.1;6;2;56.499444;25.878333;1.0;2023;0;1;0;0
8900.0;1;5;4449.5;1984;20.0;37.7;4;1;56.499444;25.878333;2.0;2024;0;0;0;1
10200.0;1;5;2477.0;1985;15.0;38.8;6;2;56.499444;25.878333;2.0;2024;0;0;0;1
2400.0;1;5;2472.6;1986;28.0;31.7;5;1;56.499444;25.878333;4.0;2024;0;0;0;1
18000.0;1;5;2487.0;1984;20.0;46.1;7;2;56.499444;25.878333;5.0;2024;0;0;0;1
10400.0;1;5;5027.7;1978;36.0;43.4;6;2;56.499444;25.878333;1.0;2024;0;0;0;1
8050.0;1;4;2128.6;1991;26.0;34.2;5;1;56.499444;25.878333;3.0;2024;0;0;0;1
10000.0;1;3;1747.4;1987;20.0;61.8;11;3;56.499444;25.878333;1.0;2024;0;0;0;1
10400.0;1;5;2578.0;1985;20.0;34.0;5;1;56.499444;25.878333;5.0;2024;0;0;0;1
15000.0;1;5;4816.5;1974;25.0;56.1;7;2;56.499444;25.878333;4.0;2024;0;0;0;1
8000.0;1;3;1296.8;1964;45.0;42.0;5;2;56.499444;25.878333;1.0;2024;0;0;0;1
11100.0;1;5;2578.0;1985;20.0;32.7;5;1;56.499444;25.878333;3.0;2024;0;0;0;1
7900.0;1;5;2499.2;1987;28.0;35.8;5;2;56.499444;25.878333;1.0;2024;0;0;0;1
8800.0;1;5;4449.5;1984;20.0;37.8;4;1;56.499444;25.878333;3.0;2024;0;0;0;1
13500.0;1;5;6216.4;1992;10.0;54.8;7;2;56.499444;25.878333;5.0;2024;0;0;0;1
16000.0;1;5;5785.4;1978;29.0;48.3;6;2;56.499444;25.878333;3.0;2024;0;0;0;1
24000.0;1;5;4985.9;1974;30.0;60.6;9;4;56.499444;25.878333;3.0;2024;0;0;0;1
13000.0;1;3;1678.3;1986;10.0;61.3;11;3;56.499444;25.878333;2.0;2024;0;0;0;1
4000.0;1;5;4449.5;1984;20.0;37.8;4;1;56.499444;25.878333;1.0;2024;1;0;0;0
5000.0;1;5;4952.9;1976;20.0;38.1;6;2;56.499444;25.878333;3.0;2024;1;0;0;0
14000.0;1;5;4952.9;1976;20.0;60.3;8;3;56.499444;25.878333;4.0;2024;1;0;0;0
1500.0;2;2;263.4;1952;55.0;40.7;7;3;56.499444;25.878333;1.0;2024;1;0;0;0
7000.0;1;5;2548.6;1988;10.0;40.5;6;2;56.499444;25.878333;5.0;2024;1;0;0;0
6000.0;1;5;5027.7;1978;36.0;45.8;7;2;56.499444;25.878333;4.0;2024;1;0;0;0
13000.0;1;5;2472.6;1986;28.0;31.2;5;1;56.499444;25.878333;2.0;2024;1;0;0;0
25000.0;1;5;6218.4;1992;10.0;46.1;6;2;56.499444;25.878333;3.0;2024;1;0;0;0
12000.0;1;5;4977.0;1977;30.0;45.9;7;2;56.499444;25.878333;4.0;2024;1;0;0;0
7500.0;1;5;5027.7;1978;36.0;31.8;5;1;56.499444;25.878333;5.0;2024;1;0;0;0
3000.0;1;4;2277.1;1965;40.0;43.3;7;2;56.499444;25.878333;2.0;2024;1;0;0;0
28500.0;1;5;7562.1;1985;23.0;52.7;4;2;56.499444;25.878333;2.5;2024;1;0;0;0
29000.0;1;9;2460.6;1981;20.0;65.5;9;3;56.499444;25.878333;6.0;2024;1;0;0;0
14000.0;1;5;4952.9;1976;20.0;60.8;9;4;56.499444;25.878333;5.0;2024;1;0;0;0
16000.0;1;5;2560.8;1987;10.0;61.1;10;4;56.499444;25.878333;5.0;2024;1;0;0;0
14500.0;1;5;3382.6;1989;10.0;39.0;6;2;56.499444;25.878333;4.0;2024;1;0;0;0
4900.0;2;3;684.1;1966;30.0;45.0;5;2;56.499444;25.878333;2.0;2024;1;0;0;0
1000.0;1;5;2578.0;1985;20.0;31.6;5;1;56.499444;25.878333;5.0;2024;1;0;0;0
20000.0;1;5;2524.6;1989;26.0;46.4;7;2;56.499444;25.878333;3.0;2024;1;0;0;0
10000.0;1;5;4449.5;1984;20.0;38.8;4;1;56.499444;25.878333;5.0;2024;1;0;0;0
38000.0;1;5;4918.0;1990;25.0;64.2;8;3;56.499444;25.878333;5.0;2024;1;0;0;0
