Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
4100.0;1;5;2664.2;1962;40;29.6;5;1;55.875;26.535556;4.0;2020;0;0;0;1
17500.0;1;5;3310.0;1977;40;59.3;8;3;55.875;26.535556;5.0;2020;0;0;0;1
7500.0;1;5;5876.2;1981;20;62.5;8;3;55.875;26.535556;5.0;2020;0;0;0;1
6000.0;1;5;2686.0;1961;40;41.2;5;2;55.875;26.535556;2.0;2020;0;0;0;1
31000.0;1;5;1653.3;1995;7;73.6;8;2;55.875;26.535556;4.0;2020;0;0;0;1
9000.0;1;4;3469.4;1960;40;43.8;7;2;55.875;26.535556;3.0;2020;1;0;0;0
4800.0;1;5;2403.7;1969;35;48.7;7;2;55.875;26.535556;3.0;2020;1;0;0;0
5800.0;1;5;4082.2;1992;10;34.1;5;1;55.875;26.535556;4.0;2020;1;0;0;0
2000.0;1;5;3311.5;1976;30;28.8;4;1;55.875;26.535556;1.0;2020;1;0;0;0
20200.0;1;5;4785.0;1967;35;56.1;8;3;55.875;26.535556;2.0;2020;1;0;0;0
11000.0;1;4;677.2;1980;15;50.4;7;2;55.875;26.535556;2.0;2020;1;0;0;0
2100.0;1;5;2664.2;1962;40;39.8;6;2;55.875;26.535556;1.0;2020;1;0;0;0
4000.0;1;3;947.4;1959;45;42.9;6;2;55.875;26.535556;3.0;2020;1;0;0;0
6000.0;1;3;818.3;1952;40;41.2;6;2;55.875;26.535556;1.0;2020;1;0;0;0
8500.0;1;5;5360.5;1989;10;46.5;7;2;55.875;26.535556;5.0;2020;0;0;1;0
1870.0;1;5;2403.7;1969;35;26.0;4;1;55.875;26.535556;2.0;2020;1;0;0;0
2400.0;3;2;577.7;1958;50;29.7;6;1;55.875;26.535556;1.0;2020;0;0;1;0
1700.0;1;5;3347.3;1975;40;31.3;5;1;55.875;26.535556;3.0;2020;0;0;1;0
11000.0;1;5;3311.5;1976;30;46.6;7;2;55.875;26.535556;5.0;2019;0;0;1;0
9000.0;1;9;3936.7;1970;30;35.1;4;1;55.875;26.535556;7.0;2020;0;0;1;0
10000.0;1;5;2466.7;1976;20;37.6;6;2;55.875;26.535556;3.0;2020;0;0;1;0
2000.0;1;5;3347.3;1975;40;31.3;5;1;55.875;26.535556;3.0;2020;0;0;1;0
15000.0;1;4;3469.4;1960;40;45.7;7;2;55.875;26.535556;3.0;2020;0;0;1;0
13000.0;1;3;630.8;1959;40;41.8;5;2;55.875;26.535556;1.0;2020;0;0;1;0
1700.0;1;5;2403.7;1969;35;27.0;4;1;55.875;26.535556;5.0;2020;0;0;1;0
5000.0;1;3;947.4;1959;45;42.1;5;2;55.875;26.535556;1.0;2020;0;0;1;0
10000.0;1;5;4785.0;1967;35;47.4;7;2;55.875;26.535556;4.0;2020;0;0;1;0
5700.0;1;9;3936.7;1970;30;35.0;4;1;55.875;26.535556;4.0;2020;0;0;1;0
5500.0;1;5;5875.2;1981;20;31.9;5;1;55.875;26.535556;2.0;2020;0;1;0;0
3200.0;1;5;6474.3;1968;50;36.4;7;2;55.875;26.535556;5.0;2020;0;1;0;0
4500.0;1;5;3165.0;1967;40;45.6;6;2;55.875;26.535556;1.0;2020;0;1;0;0
5000.0;1;5;2466.7;1976;20;29.8;5;1;55.875;26.535556;5.0;2020;0;1;0;0
2561.17;1;5;3718.8;1973;30;32.8;5;1;55.875;26.535556;5.0;2003;0;0;1;0
6500.0;1;4;3468.3;1960;40;30.8;5;1;55.875;26.535556;4.0;2020;0;1;0;0
7840.0;1;5;4785.0;1967;35;49.5;7;2;55.875;26.535556;5.0;2020;0;0;1;0
2898.0;1;6;2254.2;2006;5;59.5;6;2;55.875;26.535556;6.0;2020;0;1;0;0
25000.0;1;6;2363.6;2007;11;58.0;6;2;55.875;26.535556;6.0;2020;0;1;0;0
6000.0;1;5;2237.8;1962;30;28.3;4;1;55.875;26.535556;4.0;2020;0;1;0;0
2100.0;1;5;2403.7;1969;35;26.0;4;1;55.875;26.535556;2.0;2020;0;1;0;0
8000.0;1;5;2071.6;1990;15;53.3;7;2;55.875;26.535556;5.0;2020;0;1;0;0
5336.0;1;4;1613.3;1960;45;29.2;4;1;55.875;26.535556;2.0;2020;0;1;0;0
28000.0;1;5;5690.4;1978;30;65.9;8;3;55.875;26.535556;5.0;2020;0;1;0;0
10000.0;1;5;3271.2;1968;35;47.6;7;2;55.875;26.535556;2.0;2020;0;0;0;1
9200.0;1;5;4785.0;1967;35;35.1;6;2;55.875;26.535556;1.0;2020;0;0;0;1
12600.0;1;5;4786.1;1967;30;49.5;7;2;55.875;26.535556;5.0;2020;0;0;0;1
20000.0;1;5;1653.3;1995;7;58.0;7;2;55.875;26.535556;5.0;2020;0;0;0;1
8100.0;1;5;3854.5;1978;25;54.7;7;2;56.499444;25.878333;2.0;2019;0;1;0;0
7470.0;3;2;561.0;1962;60;41.3;5;2;56.499444;25.878333;1.0;2019;0;0;0;1
5400.0;1;4;2132.8;1991;10;54.1;6;2;56.499444;25.878333;4.0;2019;0;0;0;1
13500.0;1;5;4952.9;1976;20;60.8;9;4;56.499444;25.878333;5.0;2020;0;0;0;1
5700.0;1;5;2472.3;1986;20;38.9;6;2;56.499444;25.878333;4.0;2019;0;1;0;0
4000.0;4;2;249.5;1958;30;44.1;5;2;56.499444;25.878333;2.0;2019;0;0;0;1
2750.0;4;2;249.5;1958;30;30.2;4;1;56.499444;25.878333;1.0;2019;0;0;0;1
3700.0;1;3;1296.8;1964;45;41.0;5;2;56.499444;25.878333;1.0;2019;0;0;0;1
14000.0;1;4;2132.8;1991;10;81.4;9;3;56.499444;25.878333;2.0;2020;0;0;0;1
3500.0;1;5;4449.5;1984;20;37.6;4;1;56.499444;25.878333;5.0;2020;0;0;0;1
15000.0;1;5;5787.0;1978;20;72.4;8;3;56.499444;25.878333;2.0;2020;0;0;0;1
4200.0;1;5;2487.0;1984;20;28.6;4;1;56.499444;25.878333;1.0;2019;0;0;0;1
7500.0;1;5;4693.8;1984;10;45.2;6;2;56.499444;25.878333;5.0;2020;0;0;0;1
10000.0;1;5;5923.5;1976;20;55.2;7;2;56.499444;25.878333;5.0;2019;0;0;0;1
3100.0;1;9;2310.5;1982;10;33.0;6;1;56.499444;25.878333;4.0;2020;0;0;0;1
