Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
42000.0;54.1;1;5;3404.8;1968;25.0;59.0;7;3;56.966667;23.153333;1.0;2023;0;0;0;1
8600.0;38.24;1;5;4169.8;1983;20.0;42.1;6;1;56.68;22.568333;3.0;2023;0;0;0;1
20500.0;179.72;1;4;2842.5;1972;30.0;57.8;8;3;57.0375;22.775;2.0;2023;0;0;0;1
25000.0;206.09;1;3;1295.7;1976;20.0;48.9;8;2;57.0375;22.775;2.0;2023;0;0;0;1
3380.0;41.45;2;2;177.4;1900;45.0;10.6;1;1;56.966667;23.153333;2.0;2023;0;1;0;0
68850.0;195.56;1;5;3564.9;2003;0.0;90.2;11;3;56.68;22.568333;1.0;2023;0;0;0;1
20200.0;18.14;1;5;4117.1;1971;45.0;55.6;7;2;56.968611;21.971667;3.0;2024;0;0;0;1
1500.0;33.83;2;2;213.0;1890;60.0;17.1;3;1;57.246667;22.588611;2.0;2024;0;0;0;1
20000.0;59.81;2;3;866.4;1900;35.0;32.2;6;1;56.968611;21.971667;2.0;2024;0;0;0;1
20160.0;86.23;1;3;1294.2;1960;20.0;38.3;5;2;56.966667;23.153333;3.0;2023;0;0;0;1
25100.0;48.98;1;5;3360.0;1977;10.0;44.8;6;2;56.966667;23.153333;1.0;2023;0;0;0;1
16000.0;268.58;3;2;379.1;1963;20.0;43.0;5;2;56.535;21.166111;2.0;2024;0;0;0;1
10500.0;20.49;1;4;3000.3;1970;30.0;46.6;6;2;56.968611;21.971667;3.0;2024;0;0;0;1
25000.0;18.08;1;5;2532.5;1967;30.0;48.9;7;2;56.968611;21.971667;3.0;2024;0;0;0;1
2500.0;34.17;1;5;3521.3;1977;15.0;47.0;7;2;56.68;22.568333;5.0;2024;0;0;0;1
21000.0;48.95;1;5;4805.3;1983;15.0;56.9;7;2;56.68;22.568333;3.0;2024;0;0;0;1
1500.0;131.73;1;2;304.2;1915;65.0;26.7;2;1;56.968611;21.971667;2.0;2024;0;0;0;1
