Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
15000.0;277.49;3;2;456.1;1887;55;41.2;6;2;56.968611;21.971667;2.0;2019;0;0;0;1
14000.0;67.77;1;4;2324.5;1964;35;40.2;6;2;57.246667;22.588611;4.0;2019;0;0;0;1
1500.0;68.32;2;2;303.9;1900;65;27.8;2;1;56.968611;21.971667;1.0;2019;0;0;0;1
20000.0;120.57;1;5;5194.8;1985;15;91.8;9;4;56.68;22.568333;4.0;2019;0;0;0;1
6800.0;57.72;1;5;4393.9;1988;20;42.5;6;1;56.966667;23.153333;2.0;2019;0;0;0;1
24000.0;15.94;1;4;2314.9;1964;50;43.5;6;2;56.968611;21.971667;4.0;2019;0;0;0;1
8660.0;71.29;1;5;4700.8;1989;10;54.8;7;2;56.68;22.568333;4.0;2019;0;1;0;0
1422.87;30.46;1;5;3243.5;1970;20;50.4;7;2;56.666389;22.493611;4.0;2013;0;1;0;0
3250.0;19.47;1;4;3111.3;1979;20;63.8;8;3;56.666389;22.493611;1.0;2019;0;0;0;1
5100.0;107.48;2;2;352.0;1890;60;52.2;5;2;56.968611;21.971667;2.0;2020;0;0;0;1
33000.0;97.15;1;5;3346.4;1968;40;71.9;9;4;57.246667;22.588611;3.0;2020;0;0;0;1
5084.7;53.32;1;4;2341.7;1966;35;43.0;6;2;56.68;22.568333;4.0;2019;0;1;0;0
20000.0;42.86;1;6;7190.6;1980;15;56.0;7;2;56.966667;23.153333;5.0;2019;0;0;0;1
12000.0;52.08;1;5;5078.3;1969;15;57.6;8;3;56.966667;23.153333;4.0;2019;0;0;0;1
3000.0;202.31;2;2;227.7;1930;60;25.4;2;1;56.666389;22.493611;1.0;2020;0;0;0;1
20000.0;94.55;1;5;4980.7;2006;30;52.9;5;2;56.666389;22.493611;1.0;2020;0;0;0;1
14000.0;30.87;1;5;5184.1;1970;20;25.1;4;1;56.966667;23.153333;3.0;2020;0;0;0;1
14000.0;19.06;1;5;4048.6;1988;20;46.9;6;2;56.968611;21.971667;2.0;2020;0;0;0;1
23000.0;56.24;1;5;5184.1;1970;20;49.1;7;2;56.966667;23.153333;2.0;2019;0;0;0;1
1500.0;177.9;1;2;304.2;1915;65;36.6;3;1;56.968611;21.971667;2.0;2020;0;0;0;1
13500.0;11.12;1;4;2314.9;1964;50;30.0;4;1;56.968611;21.971667;2.0;2020;0;0;0;1
7000.0;23.55;1;2;442.8;1935;70;32.8;2;1;56.666389;22.493611;2.0;2020;0;0;0;1
18200.0;64.55;1;5;7628.0;1986;5;58.1;8;2;56.966667;23.153333;4.0;2019;0;0;0;1
1000.0;45.08;1;4;4659.2;1966;20;43.9;5;2;56.966667;23.153333;4.0;2019;0;1;0;0
40000.0;66.64;1;5;5075.9;1969;15;73.2;9;4;56.966667;23.153333;4.0;2020;0;0;0;1
24000.0;55.4;1;5;6019.5;1990;10;54.3;6;2;56.968611;21.971667;2.0;2020;0;0;0;1
4984.7;51.79;1;4;2341.7;1966;35;40.6;5;2;56.68;22.568333;1.0;2019;0;1;0;0
7700.0;29.62;1;3;1733.2;1971;35;56.4;7;3;56.968611;21.971667;1.0;2017;0;0;1;0
8000.0;114.08;1;2;241.8;1900;50;47.1;5;3;56.968611;21.971667;1.0;2019;0;0;0;1
5084.7;43.12;1;4;2347.2;1966;35;40.1;5;2;56.68;22.568333;1.0;2019;0;1;0;0
6774.88;62.81;1;3;764.7;1959;40;47.5;6;2;57.246667;22.588611;3.0;2020;0;0;0;1
5600.0;41.63;1;5;4193.0;1984;20;34.9;6;1;56.666389;22.493611;4.0;2020;0;0;0;1
20000.0;181.53;1;3;2565.9;1987;15;66.4;9;3;56.889167;21.176944;3.0;2020;0;0;0;1
1950.0;147.35;2;2;227.7;1930;60;18.5;2;1;56.666389;22.493611;1.0;2019;0;0;0;1
8000.0;46.72;2;2;327.6;1900;60;24.1;4;1;57.246667;22.588611;2.0;2020;0;0;0;1
18200.0;207.53;4;2;211.8;1872;60;73.8;6;4;56.966667;23.153333;1.0;2020;0;0;0;1
9000.0;36.81;1;5;6139.8;1994;10;37.9;5;1;57.246667;22.588611;4.0;2020;0;0;0;1
18000.0;62.38;1;5;3360.5;1969;10;55.7;8;3;56.68;22.568333;4.0;2020;0;0;0;1
1550.0;107.07;3;3;286.1;1920;40;22.6;2;1;56.666389;22.493611;1.0;2020;0;0;0;1
11000.0;90.25;1;3;1323.3;1964;30;41.6;4;2;56.535;21.166111;3.0;2020;0;0;0;1
3300.0;45.84;1;5;3929.3;1980;40;42.3;5;1;57.0375;22.775;4.0;2018;0;1;0;0
5140.0;134.94;4;2;274.3;1880;55;35.0;3;2;56.535;21.166111;2.0;2019;0;1;0;0
