Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
20350.0;1;4;2508.2;1980;15.0;53.9;7;2;56.666389;22.493611;2.0;2020;0;0;0;1
26500.0;1;5;3151.6;1972;30.0;48.3;7;2;57.246667;22.588611;4.0;2023;0;0;0;1
21000.0;1;6;2226.2;1990;5.0;46.0;4;2;57.246667;22.588611;4.0;2024;0;0;0;1
10000.0;1;5;4029.3;1986;20.0;34.2;5;1;57.246667;22.588611;4.0;2024;0;0;0;1
9450.0;1;1;133.1;1960;50.0;35.1;7;2;56.966667;23.153333;1.0;2023;0;0;0;1
7826.0;1;4;2225.5;1973;30.0;26.9;4;1;56.966667;23.153333;1.0;2024;0;0;0;1
16481.5;1;5;4810.5;1988;27.0;48.9;8;2;56.966667;23.153333;2.0;2023;0;0;0;1
2000.0;2;2;253.9;1870;60.0;20.5;2;1;56.968611;21.971667;2.0;2024;0;0;0;1
15081.5;1;5;3984.0;1976;35.0;32.6;6;1;56.966667;23.153333;5.0;2023;0;0;0;1
5000.0;1;3;1158.2;1969;30.0;40.4;5;2;57.246667;22.588611;2.0;2024;0;0;0;1
18550.0;1;3;1142.1;1967;40.0;28.6;5;1;56.666389;22.493611;2.0;2024;0;0;0;1
40000.0;1;5;2865.7;1991;10.0;50.6;7;2;56.666389;22.493611;4.0;2024;0;0;0;1
30000.0;1;6;2281.9;1989;28.0;55.4;8;2;57.246667;22.588611;3.0;2024;0;0;0;1
15000.0;1;5;3559.2;1973;30.0;38.5;6;2;57.246667;22.588611;5.0;2024;0;0;0;1
12000.0;1;6;5468.8;1970;25.0;36.5;5;1;57.246667;22.588611;3.0;2024;0;0;0;1
18000.0;1;5;2864.2;1985;15.0;35.1;5;1;56.666389;22.493611;3.0;2024;0;0;0;1
28500.0;1;6;4565.8;1984;28.0;54.5;8;2;57.246667;22.588611;5.0;2024;0;0;0;1
22000.0;1;5;3559.2;1973;30.0;38.5;6;2;57.246667;22.588611;5.0;2024;0;0;0;1
18000.0;1;5;4054.1;1974;25.0;35.2;4;1;57.246667;22.588611;2.0;2024;0;0;0;1
