Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
19000.0;1;5;3759.1;1977;30;55.0;7;2;57.246667;22.588611;5.0;2019;0;0;0;1
15000.0;1;5;4812.7;1988;15;33.5;5;1;56.966667;23.153333;5.0;2019;0;1;0;0
10000.0;1;5;4711.7;1980;20;52.5;7;2;57.246667;22.588611;2.0;2020;0;0;0;1
19000.0;1;5;3434.9;1970;25;54.5;8;3;56.666389;22.493611;4.0;2020;0;0;0;1
9000.0;1;3;806.3;1973;25;55.7;9;3;56.666389;22.493611;1.0;2020;0;0;0;1
13000.0;1;5;4745.6;1980;20;49.5;9;2;56.966667;23.153333;3.0;2020;0;0;0;1
4100.0;1;2;379.0;1970;35;41.1;6;2;56.666389;22.493611;1.0;2020;0;0;0;1
16700.0;1;5;4812.7;1988;15;33.6;6;1;56.966667;23.153333;2.0;2020;0;0;0;1
18000.0;1;4;3348.1;1976;15;53.0;7;2;56.966667;23.153333;2.0;2020;0;0;0;1
5250.0;1;5;2557.7;1974;25;37.0;7;2;56.966667;23.153333;4.0;2019;0;0;1;0
7120.0;3;3;659.7;1968;35;62.9;6;3;57.246667;22.588611;1.0;2020;0;0;0;1
11000.0;1;6;2283.4;1989;10;33.7;5;1;57.246667;22.588611;3.0;2020;0;0;0;1
19500.0;2;2;758.4;1957;60;42.2;6;2;56.68;22.568333;1.0;2020;0;0;0;1
4695.0;1;5;3959.6;1981;10;45.6;6;2;56.966667;23.153333;4.0;2019;0;0;0;1
17000.0;1;5;3908.5;1981;25;53.2;7;2;57.246667;22.588611;5.0;2020;0;0;0;1
30000.0;1;5;4195.2;1990;15;69.4;8;3;57.246667;22.588611;2.0;2020;0;0;0;1
33000.0;1;5;4189.0;1988;10;69.8;8;3;56.966667;23.153333;5.0;2020;0;0;0;1
7000.0;1;5;2600.0;1969;30;31.0;4;1;56.666389;22.493611;3.0;2020;0;0;0;1
4260.0;1;5;2551.0;1969;25;26.0;4;1;56.966667;23.153333;4.0;2019;0;0;0;1
22000.0;1;3;709.5;1960;30;46.8;7;2;56.666389;22.493611;3.0;2020;0;0;0;1
6000.0;1;5;2520.4;1970;25;49.0;10;2;56.966667;23.153333;3.0;2020;0;0;0;1
17500.0;1;3;1889.6;1972;25;54.1;7;2;56.666389;22.493611;2.0;2020;0;0;0;1
