Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
18.12.2019;99500.0;104.18;1;5;1438.5;5337.7;17524.0;2019;0;4;4;68.0;64.3;7;3;56.9556183;24.1854622
09.12.2019;73000.0;73.34;1;9;921.8;7161.0;23358.0;1983;25;6;6;62.7;62.7;8;3;56.954067;24.1982877
18.12.2019;103000.0;17.26;6;6;1019.3;4969.3;21737.0;1910;60;4;4;53.1;53.1;3;2;56.9507031;24.120468
19.12.2019;38500.0;59.23;1;5;822.8;3997.6;12332.0;1971;30;5;5;49.5;48.3;8;2;56.961398;24.0312235
17.12.2019;68500.0;67.72;1;5;1438.5;5337.7;17524.0;2019;0;1;1;44.2;44.2;3;2;56.9556183;24.1854622
28.11.2019;46000.0;38.04;1;5;339.2;1576.5;6479.0;1938;48;1;1;51.1;51.1;5;2;56.9588355;24.1367846
16.12.2019;79990.0;27.92;1;6;669.6;3065.0;14104.0;1912;34;6;6;71.9;71.9;5;2;56.9620966;24.1222682
19.12.2019;41000.0;52.61;1;5;878.3;4225.0;14213.0;1983;25;2;2;39.7;35.8;6;1;56.9494172;24.2038772
19.12.2019;53500.0;45.04;1;5;1438.5;5337.7;17524.0;2019;0;1;1;29.4;29.4;3;2;56.9556183;24.1854622
23.12.2019;37500.0;41.37;1;9;457.3;3636.0;12125.0;1984;20;6;6;43.8;35.4;6;1;56.9420344;24.200904
05.12.2019;4760.0;39.78;2;2;140.8;217.4;868.0;1910;45;2;2;24.5;24.5;2;1;56.9163191;24.1070677
17.12.2019;203000.0;36.29;1;8;3326.6;15614.8;46797.0;2018;0;3;3;116.1;104.8;9;4;56.9657079;24.1052027
23.12.2019;59500.0;69.27;1;5;2163.3;9452.1;32947.0;1988;20;3;3;52.9;51.3;7;2;56.9524347;24.194641
04.11.2019;5751.0;111.85;4;2;227.2;339.3;1322.0;1896;65;2;2;33.8;33.8;5;2;56.9476092;24.1486092
19.12.2019;21000.0;37.24;1;10;533.4;3926.2;14578.0;1971;20;4;4;34.1;34.1;4;1;57.0026173;24.1284255
17.12.2019;50000.0;66.23;1;9;790.1;6205.3;20744.0;1985;0;5;5;79.1;73.3;14;3;56.9491121;24.0007677
16.12.2019;100000.0;28.41;4;5;539.9;2143.2;10335.0;1880;24;3;3;60.5;60.5;3;2;56.962974;24.1281688
20.12.2019;82500.0;109.2;3;6;630.9;2876.8;13078.0;1920;23;3;3;61.8;61.8;6;2;56.9738523;24.1095199
18.12.2019;41000.0;25.86;22;6;395.8;1868.5;7494.0;1910;50;5;5;31.2;31.2;4;1;56.9610403;24.1471018
16.12.2019;160000.0;123.63;1;6;477.6;2608.0;10275.0;2007;3;5;5;122.3;108.0;8;4;56.9435533;24.1752892
25.11.2019;50000.0;167.2;2;3;289.2;833.5;3434.0;1937;45;2;2;53.2;53.2;6;2;56.9787035;24.1751113
